Date,EUROSTOXX,VSTOXX
2001-03-05,4347.4,22.2056
2001-03-06,4412.11,20.877
2001-03-07,4413.62,20.7941
2001-03-08,4370.56,20.5669
2001-03-09,4334.23,21.1372
2001-03-12,4218.14,23.4681
2001-03-13,4184.15,24.1972
2001-03-14,4123.97,27.1949
2001-03-15,4200.08,27.2113
2001-03-16,4106.79,27.708
2001-03-19,4085.53,28.2499
2001-03-20,4158.42,27.7236
2001-03-21,4067.26,28.3524
2001-03-22,3891.49,30.5634
2001-03-23,4002.56,31.441
2001-03-26,4143.85,28.7891
2001-03-27,4229.81,27.0792
2001-03-28,4157.55,29.6507
2001-03-29,4165.75,30.1767
2001-03-30,4185.0,29.8427
2001-04-02,4190.8,29.5547
2001-04-03,4039.16,33.0777
2001-04-04,4062.12,32.6021
2001-04-05,4158.19,30.5196
2001-04-06,4145.85,29.7427
2001-04-09,4204.13,28.7019
2001-04-10,4305.96,26.521
2001-04-11,4329.23,25.3539
2001-04-12,4338.12,25.1553
2001-04-17,4293.51,27.7887
2001-04-18,4441.58,25.1814
2001-04-19,4420.55,26.1885
2001-04-20,4383.59,26.52
2001-04-23,4331.54,26.9862
2001-04-24,4372.41,25.7069
2001-04-25,4363.11,24.958
2001-04-26,4405.39,22.9708
2001-04-27,4473.95,20.9765
2001-04-30,4525.01,21.2096
2001-05-02,4494.71,21.7019
2001-05-03,4401.57,22.9237
2001-05-04,4416.79,22.902
2001-05-07,4440.65,22.5204
2001-05-08,4441.86,22.412
2001-05-09,4415.99,22.67
2001-05-10,4519.04,21.2014
2001-05-11,4479.9,21.0013
2001-05-14,4426.78,22.2907
2001-05-15,4453.95,21.6761
2001-05-16,4449.61,21.8261
2001-05-17,4504.26,21.1251
2001-05-18,4546.41,20.6796
2001-05-21,4558.76,20.6196
2001-05-22,4582.07,20.0028
2001-05-23,4535.97,20.0701
2001-05-24,4561.38,19.5906
2001-05-25,4498.11,19.5156
2001-05-28,4512.6,19.7229
2001-05-29,4477.95,20.4677
2001-05-30,4413.37,21.5401
2001-05-31,4426.24,21.3324
2001-06-01,4414.95,20.9758
2001-06-04,4432.65,20.6748
2001-06-05,4493.93,19.8599
2001-06-06,4468.95,19.9585
2001-06-07,4450.41,19.9685
2001-06-08,4450.97,19.0088
2001-06-11,4424.92,19.596
2001-06-12,4289.07,21.9501
2001-06-13,4336.0,21.3075
2001-06-14,4282.1,23.6198
2001-06-15,4236.9,24.2691
2001-06-18,4168.95,24.4264
2001-06-19,4195.43,22.8877
2001-06-20,4175.88,23.083
2001-06-21,4174.06,22.2517
2001-06-22,4194.96,20.9377
2001-06-25,4211.77,21.4135
2001-06-26,4143.75,23.5298
2001-06-27,4124.24,23.1896
2001-06-28,4169.49,21.7453
2001-06-29,4243.91,20.3374
2001-07-02,4304.44,19.6287
2001-07-03,4243.8,20.4274
2001-07-04,4214.62,20.5635
2001-07-05,4185.47,20.9835
2001-07-06,4076.47,24.72
2001-07-09,4077.86,25.3517
2001-07-10,4032.97,25.0002
2001-07-11,3974.64,27.7726
2001-07-12,4010.85,25.0319
2001-07-13,4044.42,24.4581
2001-07-16,4011.59,25.5613
2001-07-17,3996.05,26.1614
2001-07-18,3911.3,28.3975
2001-07-19,3991.08,26.0746
2001-07-20,3947.49,26.1025
2001-07-23,3977.18,25.7157
2001-07-24,3930.11,26.3884
2001-07-25,3860.7,28.0986
